Feature Category,Feature Type,Northing,Easting,Elevation,Condition,Activated,Corridor ID
Roadway,EP,200429.225,1031997.655,14.255,0,1,0
Roadway,EP,200429.3051,1031997.079,14.2449,0,1,0
Roadway,EP,200429.3433,1031996.804,14.2408,0,1,0
Roadway,EP,200429.3435,1031996.803,14.2408,0,1,0
Roadway,EP,200430.4835,1031988.136,14.4703,0,1,0
Roadway,EP,200431.6875,1031978.983,14.4545,0,1,0
Roadway,EP,200431.7818,1031978.265,14.5284,0,1,0
Roadway,EP,200432.1764,1031975.265,14.501,0,1,0
Roadway,EP,200435.6714,1031950.491,14.2622,0,1,0
Roadway,EP,200438.9962,1031925.686,14.0322,0,1,0
Roadway,EP,200443.1313,1031901.028,13.7602,0,1,0
Roadway,EP,200446.8225,1031876.296,13.5113,0,1,0
Roadway,EP,200447.5768,1031872.129,13.4624,0,1,0
Roadway,EP,200447.6497,1031871.726,13.3735,0,1,0
Roadway,EP,200447.8603,1031870.563,13.3554,0,1,0
Roadway,EP,200449.1934,1031863.198,13.3011,0,1,0
Roadway,EP,200451.278,1031851.683,13.098,0,1,0
Roadway,EP,200451.278,1031851.683,13.098,0,1,0
Roadway,EP,200451.5172,1031850.268,13.0839,0,1,0
Roadway,EP,200455.446,1031827.032,12.852,0,1,0
Roadway,EP,200455.4463,1031827.032,12.852,0,1,0
Roadway,EP,200455.446,1031827.032,12.852,0,1,0
Roadway,EP,200457.037,1031816.874,12.735,0,1,0
Roadway,EP,200459.315,1031802.333,12.568,0,1,0
Roadway,EP,200459.3153,1031802.333,12.568,0,1,0
Roadway,EP,200460.328,1031795.8,12.497,0,1,0
Roadway,EP,200462.0924,1031784.422,12.373,0,1,0
Roadway,EP,200463.146,1031777.628,12.299,0,1,0
Roadway,EP,200463.1458,1031777.628,12.299,0,1,0
Roadway,EP,200463.146,1031777.628,12.299,0,1,0
Roadway,EP,200466.1017,1031758.971,12.0143,0,1,0
Roadway,EP,200467.516,1031750.043,11.878,0,1,0
Roadway,EP,200467.5161,1031750.043,11.878,0,1,0
Roadway,EP,200467.516,1031750.043,11.878,0,1,0
Roadway,EP,200472.39,1031722.24,11.31,0,1,0
Roadway,EP,200472.39,1031722.24,11.31,0,1,0
Roadway,EP,200473.1888,1031717.682,11.2048,0,1,0
Roadway,EP,200474.235,1031711.713,11.067,0,1,0
Roadway,EP,200474.2359,1031711.708,11.0669,0,1,0
Roadway,EP,200481.867,1031668.164,10.06,0,1,0
Roadway,EP,200481.867,1031668.164,10.06,0,1,0
Roadway,EP,200487.0689,1031643.674,9.3413,0,1,0
Roadway,EP,200487.0707,1031643.665,9.3411,0,1,0
Roadway,EP,200487.071,1031643.665,9.341,0,1,0
Roadway,EP,200487.0713,1031643.663,9.3411,0,1,0
Roadway,EP,200488.4788,1031637.111,9.2715,0,1,0
Roadway,EP,200488.9001,1031635.15,9.2492,0,1,0
Roadway,EP,200490.4207,1031628.072,9.1735,0,1,0
Roadway,EP,200490.8942,1031625.868,9.1478,0,1,0
Roadway,EP,200491.4596,1031623.237,9.1194,0,1,0
Roadway,EP,200491.4875,1031623.106,9.1176,0,1,0
Roadway,EP,200491.512,1031622.993,9.1163,0,1,0
Roadway,EP,200491.9905,1031620.765,9.0904,0,1,0
Roadway,EP,200492.3079,1031619.288,9.0742,0,1,0
Roadway,EP,200492.3126,1031619.269,9.0737,0,1,0
Roadway,EP,200492.631,1031617.99,9.0447,0,1,0
Roadway,EP,200493.1954,1031615.722,8.9966,0,1,0
Roadway,EP,200493.329,1031615.185,8.9845,0,1,0
Roadway,EP,200493.5744,1031614.199,8.9632,0,1,0
Roadway,EP,200493.6137,1031614.041,8.6112,0,1,0
Roadway,EP,200493.614,1031614.041,8.61,0,1,0
Roadway,EP,200496.1161,1031604.343,8.3781,0,1,0
Roadway,EP,200501.2672,1031584.379,7.9007,0,1,0
Roadway,EP,200501.273,1031584.355,7.9,0,1,0
Roadway,EP,200501.2734,1031584.355,7.9,0,1,0
Roadway,EP,200501.274,1031584.353,7.9,0,1,0
Roadway,EP,200509.4296,1031555.317,7.6531,0,1,0
Roadway,EP,200514.4775,1031537.345,7.5005,0,1,0
Roadway,EP,200514.485,1031537.319,7.5,0,1,0
Roadway,EP,200514.4849,1031537.319,7.5003,0,1,0
Roadway,EP,200518.8892,1031523.049,7.3686,0,1,0
Roadway,EP,200524.5367,1031504.752,7.2,0,1,0
Roadway,EP,200524.5382,1031504.747,7.2,0,1,0
Roadway,EP,200524.538,1031504.747,7.2,0,1,0
Roadway,EP,200528.3624,1031492.554,7.1565,0,1,0
Roadway,EP,200533.3086,1031476.783,7.1009,0,1,0
